season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
5,SA,62,9,Ep 9,2014-03-16,NA,NA,NA
5,US,63,7,Ep 7,2002-10-31,18790000,7.8,115
3,AU,63,11,Ep 11,2018-08-27,674000,8.5,19
5,SA,63,10,Ep 10,2014-03-23,NA,NA,NA
5,US,64,8,Ep 8,2002-11-07,19050000,7.7,116
3,AU,64,12,Ep 12,2018-08-28,667000,8.3,20
5,SA,64,11,Ep 11,2014-03-30,NA,NA,NA
5,US,65,9,Ep 9,2002-11-14,21620000,7.4,113
3,AU,65,13,Ep 13,2018-09-03,640000,7.9,19
5,SA,65,12,Ep 12,2014-04-06,NA,NA,NA
5,US,66,10,Ep 10,2002-11-21,19610000,7.4,113
3,AU,66,14,Ep 14,2018-09-04,668000,8.5,23
5,SA,66,13,Ep 13,2014-04-13,NA,NA,NA
5,US,67,11,Recap,2002-11-27,12400000,7,98
3,AU,67,15,Ep 15,2018-09-10,654000,7.9,19
5,SA,67,14,Ep 14,2014-04-14,NA,NA,NA
5,US,68,12,Ep 12,2002-12-05,21390000,7.2,118
3,AU,68,16,Ep 16,2018-09-11,664000,8.4,19
5,SA,68,15,Ep 15,2014-04-27,NA,NA,NA
5,US,69,13,Ep 13,2002-12-12,19000000,7.7,114
3,AU,69,17,Ep 17,2018-09-17,732000,9.4,28
5,SA,69,16,Ep 16,2014-05-04,NA,NA,NA
5,US,70,14,Finale,2002-12-19,24080000,7.7,121
3,AU,70,18,Ep 18,2018-09-18,654000,8.8,22
5,SA,70,17,Ep 17,2014-05-11,NA,NA,NA
6,US,71,1,Ep 1,2003-02-13,23260000,8,261
3,AU,71,19,Ep 19,2018-09-24,627000,8,19
5,SA,71,18,Finale,2014-05-18,NA,NA,NA
6,US,72,2,Ep 2,2003-02-20,20340000,7.7,228
3,AU,72,20,Ep 20,2018-09-25,696000,8.1,19
6,SA,72,1,Ep 1,2018-05-03,NA,9,15
6,US,73,3,Ep 3,2003-02-27,22370000,7.8,230
3,AU,73,21,Ep 21,2018-10-01,645000,8.1,19
6,SA,73,2,Ep 2,2018-05-10,NA,9,6
6,US,74,4,Ep 4,2003-03-06,23330000,7.7,226
3,AU,74,22,Ep 22,2018-10-02,732000,8.6,22
6,SA,74,3,Ep 3,2018-05-17,NA,8.4,5
6,US,75,5,Ep 5,2003-03-13,21050000,7.9,211
